ping_time,latitude,longitude,38kHz_sound_speed_m_s,38kHz_basic,120kHz_sound_speed_m_s,120kHz_basic
2017-06-03 10:25:18.491489,54.474007,-165.608973,1470.0,144.96,1470.0,144.96
2017-06-03 10:25:19.498291,54.474009,-165.608967,1470.0,144.96,1470.0,144.77
2017-06-03 10:25:19.997492,54.474034,-165.608915,1470.0,144.96,1470.0,144.77
2017-06-03 10:25:20.496693,54.474042,-165.608898,1470.0,144.96,1470.0,144.96
2017-06-03 10:25:20.995893,54.474064,-165.608846,1470.0,145.15,1470.0,145.15
2017-06-03 10:25:21.495094,54.474071,-165.608829,1470.0,145.34,1470.0,145.15
2017-06-03 10:25:21.994295,54.474092,-165.608778,1470.0,145.15,1470.0,145.15
2017-06-03 10:25:22.493498,54.474099,-165.608761,1470.0,145.15,1470.0,144.96
2017-06-03 10:25:22.992697,54.474122,-165.608708,1470.0,144.96,1470.0,144.96
2017-06-03 10:25:23.491899,54.474129,-165.608691,1470.0,144.77,1470.0,145.71
2017-06-03 10:25:23.991098,54.47415,-165.608641,1470.0,144.58,1470.0,144.58
2017-06-03 10:25:24.490301,54.474158,-165.608624,1470.0,144.4,1470.0,144.4
2017-06-03 10:25:24.988701,54.47418,-165.608573,1470.0,144.4,1470.0,144.21
2017-06-03 10:25:25.487902,54.474187,-165.608556,1470.0,144.21,1470.0,144.21
2017-06-03 10:25:25.987103,54.474209,-165.608504,1470.0,144.21,1470.0,144.21
2017-06-03 10:25:26.486303,54.474216,-165.608488,1470.0,144.4,1470.0,145.52
2017-06-03 10:25:26.985504,54.474236,-165.608437,1470.0,144.4,1470.0,144.4
2017-06-03 10:25:27.484705,54.474242,-165.608421,1470.0,144.58,1470.0,144.58
2017-06-03 10:25:27.983906,54.474264,-165.608371,1470.0,144.77,1470.0,144.58
2017-06-03 10:25:28.498707,54.474271,-165.608353,1470.0,144.96,1470.0,144.77
2017-06-03 10:25:28.997908,54.474291,-165.608301,1470.0,144.77,1470.0,144.77
2017-06-03 10:25:29.497108,54.474297,-165.608284,1470.0,144.77,1470.0,144.58
2017-06-03 10:25:29.996309,54.474319,-165.60823,1470.0,144.58,1470.0,144.58
2017-06-03 10:25:30.495510,54.474327,-165.608213,1470.0,144.58,1470.0,144.58
2017-06-03 10:25:30.994711,54.474349,-165.608164,1470.0,144.58,1470.0,144.58
2017-06-03 10:25:31.493914,54.474356,-165.608148,1470.0,144.58,1470.0,144.4
2017-06-03 10:25:31.993113,54.47438,-165.608097,1470.0,144.4,1470.0,144.4
2017-06-03 10:25:32.492315,54.474388,-165.608081,1470.0,145.52,1470.0,144.21
2017-06-03 10:25:32.991514,54.474412,-165.608032,1470.0,144.21,1470.0,144.02
2017-06-03 10:25:33.490717,54.474419,-165.608016,1470.0,144.02,1470.0,144.02
2017-06-03 10:25:33.989916,54.474443,-165.607966,1470.0,144.02,1470.0,144.02
2017-06-03 10:25:34.489119,54.474451,-165.607949,1470.0,145.34,1470.0,144.02
2017-06-03 10:25:34.988317,54.474472,-165.607899,1470.0,144.21,1470.0,144.21
2017-06-03 10:25:35.487520,54.474479,-165.607882,1470.0,144.4,1470.0,144.21
2017-06-03 10:25:35.986719,54.474499,-165.60783,1470.0,144.4,1470.0,146.09
2017-06-03 10:25:36.485922,54.474506,-165.607812,1470.0,144.4,1470.0,145.71
2017-06-03 10:25:36.985123,54.474527,-165.60776,1470.0,144.58,1470.0,144.21
2017-06-03 10:25:37.484324,54.474534,-165.607742,1470.0,144.21,1470.0,144.21
2017-06-03 10:25:37.999125,54.474556,-165.607688,1470.0,144.21,1470.0,144.21
2017-06-03 10:25:38.498323,54.474563,-165.607671,1470.0,144.21,1470.0,144.02
2017-06-03 10:25:38.997526,54.474585,-165.607621,1470.0,144.4,1470.0,144.21
2017-06-03 10:25:39.496725,54.474593,-165.607604,1470.0,144.4,1470.0,144.21
2017-06-03 10:25:39.995928,54.474617,-165.607554,1470.0,144.21,1470.0,145.9
2017-06-03 10:25:40.495127,54.474625,-165.607538,1470.0,144.21,1470.0,144.02
2017-06-03 10:25:40.994329,54.474647,-165.607487,1470.0,144.02,1470.0,145.15
2017-06-03 10:25:41.493528,54.474654,-165.607471,1470.0,144.77,1470.0,143.83
2017-06-03 10:25:41.992731,54.474679,-165.607419,1470.0,143.83,1470.0,145.52
2017-06-03 10:25:42.491932,54.474686,-165.607403,1470.0,144.02,1470.0,143.83
