file,usable_nav,nav_decision_basis,has_lat,has_lon,has_latlon,lat_non_nan_count,lon_non_nan_count,has_sentence,n_time1,use_sentence_for_nav,error
L0384-D20170810-T182653-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0384-D20170810-T185504-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0384-D20170810-T192316-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0384-D20170810-T195127-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0384-D20170810-T201939-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0384-D20170810-T204750-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0384-D20170810-T211601-ES60.raw,True,latlon+sentence,True,True,True,5075,5075,True,5075,True,
L0384-D20170810-T214413-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0384-D20170810-T221224-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0384-D20170810-T224036-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0384-D20170810-T230847-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0384-D20170810-T233659-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0384-D20170811-T000510-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0384-D20170811-T003321-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0384-D20170811-T010133-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0384-D20170811-T015756-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0384-D20170811-T022607-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0384-D20170811-T025418-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0384-D20170811-T032230-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0384-D20170811-T035041-ES60.raw,True,latlon+sentence,True,True,True,5075,5075,True,5075,True,
L0384-D20170811-T041853-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0384-D20170811-T044704-ES60.raw,True,latlon+sentence,True,True,True,5072,5072,True,5072,True,
L0384-D20170811-T051516-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0384-D20170811-T054327-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0384-D20170811-T061139-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0384-D20170811-T063950-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0384-D20170811-T070802-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0384-D20170811-T073613-ES60.raw,True,latlon+sentence,True,True,True,2523,2523,True,2523,True,
L0385-D20170811-T075018-ES60.raw,True,latlon+sentence,True,True,True,5075,5075,True,5076,True,
L0385-D20170811-T081829-ES60.raw,True,latlon+sentence,True,True,True,4814,4814,True,4814,True,
L0386-D20170811-T084517-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0386-D20170811-T091329-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0386-D20170811-T094140-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0386-D20170811-T100951-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0386-D20170811-T103803-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0386-D20170811-T110614-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0386-D20170811-T113426-ES60.raw,True,latlon+sentence,True,True,True,2184,2184,True,2184,True,
L0387-D20170811-T114639-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0387-D20170811-T121450-ES60.raw,True,latlon+sentence,True,True,True,5074,5074,True,5074,True,
L0387-D20170811-T124302-ES60.raw,True,latlon+sentence,True,True,True,891,891,True,891,True,
L0388-D20170811-T124801-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0388-D20170811-T131613-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0388-D20170811-T134425-ES60.raw,True,latlon+sentence,True,True,True,5079,5079,True,5079,True,
L0388-D20170811-T141238-ES60.raw,True,latlon+sentence,True,True,True,5088,5088,True,5088,True,
L0388-D20170811-T144054-ES60.raw,True,latlon+sentence,True,True,True,5082,5082,True,5082,True,
L0388-D20170811-T153809-ES60.raw,True,latlon+sentence,True,True,True,5088,5088,True,5088,True,
L0388-D20170811-T160625-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0388-D20170811-T163436-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0388-D20170811-T170248-ES60.raw,True,latlon+sentence,True,True,True,1293,1293,True,1293,True,
L0389-D20170811-T171002-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0389-D20170811-T173813-ES60.raw,True,latlon+sentence,True,True,True,5130,5130,True,5130,True,
L0389-D20170811-T180643-ES60.raw,True,latlon+sentence,True,True,True,1176,1176,True,1176,True,
